2022-1-1,8034.598794007334
2022-1-2,8047.184314432194
2022-1-3,8060.259383444773
2022-1-4,8073.818429926279
2022-1-5,8087.855493486058
2022-1-6,8102.379346292341
2022-1-7,8117.409709625156
2022-1-8,8132.969744516005
2022-1-9,8149.078483023272
2022-1-10,8165.745470195001
2022-1-11,8182.968182848246
2022-1-12,8200.731777137225
2022-1-13,8219.0103854256
2022-1-14,8237.76922767806
2022-1-15,8256.966981834168
2022-1-16,8276.55805144965
2022-1-17,8296.494532883431
2022-1-18,8316.7278044439
2022-1-19,8337.209728434127
2022-1-20,8357.893489724438
2022-1-21,8378.734272980508
2022-1-22,8399.692078177293
2022-1-23,8420.741238128057
2022-1-24,8441.880287228441
2022-1-25,8463.129640280602
2022-1-26,8484.518635581655
2022-1-27,8506.071958906809
2022-1-28,8527.801655114614
2022-1-29,8549.705315570449
2022-1-30,8571.768352504452
2022-1-31,8593.967949596228
2022-2-1,8616.28142172257
2022-2-2,8638.666901472512
2022-2-3,8661.108307908169
2022-2-4,8683.573096668308
2022-2-5,8706.032932668124
2022-2-6,8728.458990653407
2022-2-7,8750.821365476677
2022-2-8,8773.088654830586
2022-2-9,8795.228506000998
2022-2-10,8817.212066013115
2022-2-11,8839.021641304418
2022-2-12,8860.653216186898
2022-2-13,8882.110695952126
2022-2-14,8903.397029383155
2022-2-15,8924.50746891108
2022-2-16,8945.42668883706
2022-2-17,8966.129200319381
2022-2-18,8986.583991111424
2022-2-19,9006.768569769523
2022-2-20,9026.686272869752
2022-2-21,9046.368475428506
2022-2-22,9065.859665570562
2022-2-23,9085.198391352727
2022-2-24,9104.404312821998
2022-2-25,9123.473696492541
2022-2-26,9142.381215169784
2022-2-27,9161.084998519222
2022-2-28,9179.532561906357
2022-3-1,9197.67197950199
2022-3-2,9215.427390265326
2022-3-3,9232.761294642216
2022-3-4,9249.620292982532
2022-3-5,9265.968315829461
2022-3-6,9281.791099283368
2022-3-7,9297.122900861328
2022-3-8,9312.054683236109
2022-3-9,9326.700936711184
2022-3-10,9341.157849979863
2022-3-11,9355.48046301606
2022-3-12,9369.68014995311
2022-3-13,9383.733333501066
2022-3-14,9397.593450845117
2022-3-15,9411.201883261785
2022-3-16,9424.496314088767
2022-3-17,9437.416407314002
2022-3-18,9449.90727699051
2022-3-19,9461.923352010386
2022-3-20,9473.44741691924
2022-3-21,9484.520748915194
2022-3-22,nan
2022-3-23,9505.680641506706
2022-3-24,9515.92524190108
2022-3-25,9525.98900726265
2022-3-26,9535.857734800735
2022-3-27,9545.493472297541
2022-3-28,9554.846173997998
2022-3-29,9563.86273917386
2022-3-30,9572.493354345781
2022-3-31,9580.695563990506
2022-4-1,9588.44591277686
2022-4-2,9595.706222862693
2022-4-3,9602.534024652663
2022-4-4,9608.995855781792
2022-4-5,9615.181931641844
2022-4-6,9621.166120113772
2022-4-7,9626.99154682243
2022-4-8,9632.670906704667
2022-4-9,9638.1937915041
2022-4-10,9643.535382548398
2022-4-11,9648.663848195689
2022-4-12,9653.545703861584
2022-4-13,9658.14927716749
2022-4-14,9662.446722489432
2022-4-15,9666.415919512929
2022-4-16,9670.047434739023
2022-4-17,9673.355471169218
2022-4-18,9676.377399995154
2022-4-19,9679.159781707094
2022-4-20,9681.743308284991
2022-4-21,9684.154558728753
2022-4-22,9686.404634359453
2022-4-23,9688.491770908278
2022-4-24,9690.405313722606
2022-4-25,9692.129582188096
2022-4-26,9693.647122614118
2022-4-27,9694.941335277515
2022-4-28,9695.998460594059
2022-4-29,9696.80880376002
2022-4-30,9697.367180037258
2022-5-1,9697.67311132722
2022-5-2,9697.731941700005
2022-5-3,9697.556303786316
2022-5-4,9697.165555657997
2022-5-5,9696.582750625656
2022-5-6,9695.830838324591
2022-5-7,9694.929702945143
2022-5-8,9693.894610776448
2022-5-9,9692.73589050005
2022-5-10,9691.459411153715
2022-5-11,9690.06745202102
2022-5-12,9688.559678034906
2022-5-13,9686.934044419408
2022-5-14,9685.187535705058
2022-5-15,9683.31670679193
2022-5-16,9681.318045684362
2022-5-17,9679.18821033542
2022-5-18,9676.924194142217
2022-5-19,9674.523451278134
2022-5-20,9671.983987106625
2022-5-21,9669.304424994973
2022-5-22,9666.484103121267
2022-5-23,9663.52325529087
2022-5-24,9660.423242910807
2022-5-25,9657.186725075944
2022-5-26,9653.817663562279
2022-5-27,9650.321136207838
2022-5-28,9646.703008819753
2022-5-29,9642.969550608404
2022-5-30,9639.127069261458
2022-5-31,9635.18161076446
2022-6-1,9631.13874218935
2022-6-2,9627.003420939242
2022-6-3,9622.779946141694
2022-6-4,9618.471979539243
2022-6-5,9614.082613609253
2022-6-6,9609.61446299813
2022-6-7,9605.069763143367
2022-6-8,9600.45046995287
2022-6-9,9595.758356097265
2022-6-10,9590.99509207871
2022-6-11,9586.162295242479
2022-6-12,nan
2022-6-13,9576.294334568083
2022-6-14,9571.262105160678
2022-6-15,9566.166178751662
2022-6-16,9561.00779284165
2022-6-17,9555.788104299108
2022-6-18,9550.508195298888
2022-6-19,9545.169082232465
2022-6-20,9539.771739953068
2022-6-21,9534.317144587772
2022-6-22,9528.806323245435
2022-6-23,9523.24039360379
2022-6-24,9517.620586650448
2022-6-25,9511.948258276432
2022-6-26,9506.22489848634
2022-6-27,9500.452139327921
2022-6-28,9494.631754920043
2022-6-29,9488.765650910744
2022-6-30,9482.855849260663
2022-7-1,9476.904477917518
2022-7-2,9470.913768686962
2022-7-3,9464.88605619135
2022-7-4,9458.823770483923
2022-7-5,9452.729421869375
2022-7-6,9446.605582581102
